x;y;u;v;column;row
0.0000;0.0000;2.3072;3.6551;0;0
0.0345;0.0000;2.1562;3.3612;1;0
0.0690;0.0000;2.0119;3.0780;2;0
0.1034;0.0000;1.8749;2.8062;3;0
0.1379;0.0000;1.7455;2.5464;4;0
0.1724;0.0000;1.6239;2.2988;5;0
0.2069;0.0000;1.5102;2.0638;6;0
0.2414;0.0000;1.4048;1.8418;7;0
0.2759;0.0000;1.3078;1.6330;8;0
0.3103;0.0000;1.2191;1.4375;9;0
0.3448;0.0000;1.1390;1.2554;10;0
0.3793;0.0000;1.0673;1.0867;11;0
0.4138;0.0000;1.0041;0.9315;12;0
0.4483;0.0000;0.9492;0.7895;13;0
0.4828;0.0000;0.9027;0.6607;14;0
0.5172;0.0000;0.8642;0.5448;15;0
0.5517;0.0000;0.8337;0.4416;16;0
0.5862;0.0000;0.8110;0.3507;17;0
0.6207;0.0000;0.7957;0.2717;18;0
0.6552;0.0000;0.7877;0.2042;19;0
0.6897;0.0000;0.7866;0.1478;20;0
0.7241;0.0000;0.7921;0.1018;21;0
0.7586;0.0000;0.8038;0.0657;22;0
0.7931;0.0000;0.8213;0.0389;23;0
0.8276;0.0000;0.8443;0.0206;24;0
0.8621;0.0000;0.8722;0.0102;25;0
0.8966;0.0000;0.9047;0.0068;26;0
0.9310;0.0000;0.9412;0.0097;27;0
0.9655;0.0000;0.9813;0.0179;28;0
1.0000;0.0000;1.0243;0.0306;29;0
0.0000;0.0526;1.6451;2.6586;0;1
0.0345;0.0526;1.5424;2.4413;1;1
0.0690;0.0526;1.4447;2.2320;2;1
0.1034;0.0526;1.3524;2.0310;3;1
0.1379;0.0526;1.2657;1.8389;4;1
0.1724;0.0526;1.1850;1.6562;5;1
0.2069;0.0526;1.1103;1.4831;6;1
0.2414;0.0526;1.0420;1.3199;7;1
0.2759;0.0526;0.9801;1.1670;8;1
0.3103;0.0526;0.9248;1.0243;9;1
0.3448;0.0526;0.8761;0.8921;10;1
0.3793;0.0526;0.8339;0.7703;11;1
0.4138;0.0526;0.7984;0.6590;12;1
0.4483;0.0526;0.7694;0.5580;13;1
0.4828;0.0526;0.7468;0.4673;14;1
0.5172;0.0526;0.7305;0.3866;15;1
0.5517;0.0526;0.7204;0.3157;16;1
0.5862;0.0526;0.7163;0.2544;17;1
0.6207;0.0526;0.7180;0.2022;18;1
0.6552;0.0526;0.7252;0.1589;19;1
0.6897;0.0526;0.7376;0.1238;20;1
0.7241;0.0526;0.7549;0.0967;21;1
0.7586;0.0526;0.7769;0.0768;22;1
0.7931;0.0526;0.8032;0.0638;23;1
0.8276;0.0526;0.8333;0.0569;24;1
0.8621;0.0526;0.8670;0.0554;25;1
0.8966;0.0526;0.9038;0.0588;26;1
0.9310;0.0526;0.9432;0.0662;27;1
0.9655;0.0526;0.9849;0.0768;28;1
1.0000;0.0526;1.0283;0.0900;29;1
0.0000;0.1053;1.1359;1.9046;0;2
0.0345;0.1053;1.0722;1.7492;1;2
0.0690;0.1053;1.0120;1.5991;2;2
0.1034;0.1053;0.9555;1.4549;3;2
0.1379;0.1053;0.9030;1.3172;4;2
0.1724;0.1053;0.8549;1.1862;5;2
0.2069;0.1053;0.8114;1.0624;6;2
0.2414;0.1053;0.7725;0.9460;7;2
0.2759;0.1053;0.7385;0.8372;8;2
0.3103;0.1053;0.7094;0.7362;9;2
0.3448;0.1053;0.6853;0.6431;10;2
0.3793;0.1053;0.6662;0.5580;11;2
0.4138;0.1053;0.6522;0.4808;12;2
0.4483;0.1053;0.6431;0.4114;13;2
0.4828;0.1053;0.6389;0.3499;14;2
0.5172;0.1053;0.6395;0.2960;15;2
0.5517;0.1053;0.6448;0.2495;16;2
0.5862;0.1053;0.6546;0.2102;17;2
0.6207;0.1053;0.6686;0.1777;18;2
0.6552;0.1053;0.6868;0.1517;19;2
0.6897;0.1053;0.7088;0.1319;20;2
0.7241;0.1053;0.7344;0.1178;21;2
0.7586;0.1053;0.7633;0.1089;22;2
0.7931;0.1053;0.7952;0.1046;23;2
0.8276;0.1053;0.8297;0.1046;24;2
0.8621;0.1053;0.8665;0.1081;25;2
0.8966;0.1053;0.9053;0.1146;26;2
0.9310;0.1053;0.9456;0.1233;27;2
0.9655;0.1053;0.9871;0.1336;28;2
1.0000;0.1053;1.0294;0.1448;29;2
0.0000;0.1579;0.7531;1.3511;0;3
0.0345;0.1579;0.7202;1.2444;1;3
0.0690;0.1579;0.6895;1.1410;2;3
0.1034;0.1579;0.6612;1.0416;3;3
0.1379;0.1579;0.6356;0.9464;4;3
0.1724;0.1579;0.6131;0.8560;5;3
0.2069;0.1579;0.5937;0.7706;6;3
0.2414;0.1579;0.5778;0.6906;7;3
0.2759;0.1579;0.5653;0.6160;8;3
0.3103;0.1579;0.5565;0.5472;9;3
0.3448;0.1579;0.5513;0.4841;10;3
0.3793;0.1579;0.5498;0.4269;11;3
0.4138;0.1579;0.5521;0.3756;12;3
0.4483;0.1579;0.5580;0.3300;13;3
0.4828;0.1579;0.5675;0.2903;14;3
0.5172;0.1579;0.5806;0.2561;15;3
0.5517;0.1579;0.5970;0.2274;16;3
0.5862;0.1579;0.6168;0.2039;17;3
0.6207;0.1579;0.6396;0.1853;18;3
0.6552;0.1579;0.6654;0.1714;19;3
0.6897;0.1579;0.6938;0.1617;20;3
0.7241;0.1579;0.7248;0.1560;21;3
0.7586;0.1579;0.7579;0.1539;22;3
0.7931;0.1579;0.7930;0.1547;23;3
0.8276;0.1579;0.8297;0.1582;24;3
0.8621;0.1579;0.8678;0.1636;25;3
0.8966;0.1579;0.9070;0.1706;26;3
0.9310;0.1579;0.9468;0.1785;27;3
0.9655;0.1579;0.9869;0.1866;28;3
1.0000;0.1579;1.0271;0.1944;29;3
0.0000;0.2105;0.4731;0.9606;0;4
0.0345;0.2105;0.4640;0.8915;1;4
0.0690;0.2105;0.4560;0.8241;2;4
0.1034;0.2105;0.4493;0.7589;3;4
0.1379;0.2105;0.4444;0.6964;4;4
0.1724;0.2105;0.4414;0.6370;5;4
0.2069;0.2105;0.4405;0.5809;6;4
0.2414;0.2105;0.4419;0.5283;7;4
0.2759;0.2105;0.4457;0.4796;8;4
0.3103;0.2105;0.4521;0.4349;9;4
0.3448;0.2105;0.4610;0.3943;10;4
0.3793;0.2105;0.4726;0.3578;11;4
0.4138;0.2105;0.4868;0.3254;12;4
0.4483;0.2105;0.5036;0.2972;13;4
0.4828;0.2105;0.5230;0.2731;14;4
0.5172;0.2105;0.5449;0.2530;15;4
0.5517;0.2105;0.5692;0.2367;16;4
0.5862;0.2105;0.5958;0.2240;17;4
0.6207;0.2105;0.6245;0.2147;18;4
0.6552;0.2105;0.6551;0.2086;19;4
0.6897;0.2105;0.6876;0.2053;20;4
0.7241;0.2105;0.7217;0.2046;21;4
0.7586;0.2105;0.7571;0.2060;22;4
0.7931;0.2105;0.7936;0.2091;23;4
0.8276;0.2105;0.8310;0.2136;24;4
0.8621;0.2105;0.8691;0.2190;25;4
0.8966;0.2105;0.9075;0.2247;26;4
0.9310;0.2105;0.9459;0.2304;27;4
0.9655;0.2105;0.9841;0.2353;28;4
1.0000;0.2105;1.0217;0.2391;29;4
0.0000;0.2632;0.2753;0.7004;0;5
0.0345;0.2632;0.2840;0.6593;1;5
0.0690;0.2632;0.2929;0.6188;2;5
0.1034;0.2632;0.3024;0.5792;3;5
0.1379;0.2632;0.3128;0.5409;4;5
0.1724;0.2632;0.3243;0.5044;5;5
0.2069;0.2632;0.3370;0.4699;6;5
0.2414;0.2632;0.3512;0.4376;7;5
0.2759;0.2632;0.3669;0.4078;8;5
0.3103;0.2632;0.3843;0.3806;9;5
0.3448;0.2632;0.4034;0.3560;10;5
0.3793;0.2632;0.4243;0.3343;11;5
0.4138;0.2632;0.4469;0.3154;12;5
0.4483;0.2632;0.4714;0.2994;13;5
0.4828;0.2632;0.4976;0.2860;14;5
0.5172;0.2632;0.5254;0.2754;15;5
0.5517;0.2632;0.5549;0.2673;16;5
0.5862;0.2632;0.5858;0.2616;17;5
0.6207;0.2632;0.6181;0.2580;18;5
0.6552;0.2632;0.6517;0.2565;19;5
0.6897;0.2632;0.6863;0.2567;20;5
0.7241;0.2632;0.7219;0.2583;21;5
0.7586;0.2632;0.7582;0.2611;22;5
0.7931;0.2632;0.7950;0.2646;23;5
0.8276;0.2632;0.8321;0.2685;24;5
0.8621;0.2632;0.8692;0.2725;25;5
0.8966;0.2632;0.9062;0.2761;26;5
0.9310;0.2632;0.9429;0.2788;27;5
0.9655;0.2632;0.9788;0.2803;28;5
1.0000;0.2632;1.0139;0.2800;29;5
0.0000;0.3158;0.1418;0.5419;0;6
0.0345;0.3158;0.1632;0.5210;1;6
0.0690;0.3158;0.1843;0.4997;2;6
0.1034;0.3158;0.2054;0.4784;3;6
0.1379;0.3158;0.2267;0.4575;4;6
0.1724;0.3158;0.2485;0.4373;5;6
0.2069;0.3158;0.2709;0.4181;6;6
0.2414;0.3158;0.2940;0.4001;7;6
0.2759;0.3158;0.3181;0.3834;8;6
0.3103;0.3158;0.3431;0.3684;9;6
0.3448;0.3158;0.3693;0.3550;10;6
0.3793;0.3158;0.3965;0.3433;11;6
0.4138;0.3158;0.4248;0.3335;12;6
0.4483;0.3158;0.4543;0.3254;13;6
0.4828;0.3158;0.4848;0.3190;14;6
0.5172;0.3158;0.5165;0.3143;15;6
0.5517;0.3158;0.5490;0.3112;16;6
0.5862;0.3158;0.5825;0.3096;17;6
0.6207;0.3158;0.6169;0.3092;18;6
0.6552;0.3158;0.6518;0.3099;19;6
0.6897;0.3158;0.6874;0.3116;20;6
0.7241;0.3158;0.7233;0.3138;21;6
0.7586;0.3158;0.7595;0.3165;22;6
0.7931;0.3158;0.7958;0.3192;23;6
0.8276;0.3158;0.8320;0.3217;24;6
0.8621;0.3158;0.8679;0.3237;25;6
0.8966;0.3158;0.9034;0.3248;26;6
0.9310;0.3158;0.9381;0.3246;27;6
0.9655;0.3158;0.9720;0.3228;28;6
1.0000;0.3158;1.0048;0.3189;29;6
0.0000;0.3684;0.0571;0.4607;0;7
0.0345;0.3684;0.0872;0.4535;1;7
0.0690;0.3684;0.1166;0.4453;2;7
0.1034;0.3684;0.1455;0.4364;3;7
0.1379;0.3684;0.1742;0.4272;4;7
0.1724;0.3684;0.2030;0.4180;5;7
0.2069;0.3684;0.2318;0.4090;6;7
0.2414;0.3684;0.2610;0.4005;7;7
0.2759;0.3684;0.2905;0.3927;8;7
0.3103;0.3684;0.3206;0.3856;9;7
0.3448;0.3684;0.3512;0.3793;10;7
0.3793;0.3684;0.3825;0.3741;11;7
0.4138;0.3684;0.4144;0.3699;12;7
0.4483;0.3684;0.4469;0.3666;13;7
0.4828;0.3684;0.4800;0.3644;14;7
0.5172;0.3684;0.5138;0.3631;15;7
0.5517;0.3684;0.5480;0.3627;16;7
0.5862;0.3684;0.5828;0.3630;17;7
0.6207;0.3684;0.6179;0.3640;18;7
0.6552;0.3684;0.6533;0.3654;19;7
0.6897;0.3684;0.6890;0.3672;20;7
0.7241;0.3684;0.7246;0.3690;21;7
0.7586;0.3684;0.7603;0.3708;22;7
0.7931;0.3684;0.7957;0.3721;23;7
0.8276;0.3684;0.8308;0.3729;24;7
0.8621;0.3684;0.8654;0.3729;25;7
0.8966;0.3684;0.8994;0.3716;26;7
0.9310;0.3684;0.9325;0.3689;27;7
0.9655;0.3684;0.9647;0.3644;28;7
1.0000;0.3684;0.9957;0.3579;29;7
0.0000;0.4211;0.0081;0.4362;0;8
0.0345;0.4211;0.0437;0.4376;1;8
0.0690;0.4211;0.0783;0.4375;2;8
0.1034;0.4211;0.1122;0.4364;3;8
0.1379;0.4211;0.1455;0.4345;4;8
0.1724;0.4211;0.1785;0.4321;5;8
0.2069;0.4211;0.2114;0.4295;6;8
0.2414;0.4211;0.2442;0.4268;7;8
0.2759;0.4211;0.2772;0.4242;8;8
0.3103;0.4211;0.3102;0.4219;9;8
0.3448;0.4211;0.3435;0.4199;10;8
0.3793;0.4211;0.3771;0.4183;11;8
0.4138;0.4211;0.4109;0.4173;12;8
0.4483;0.4211;0.4451;0.4166;13;8
0.4828;0.4211;0.4795;0.4165;14;8
0.5172;0.4211;0.5143;0.4168;15;8
0.5517;0.4211;0.5492;0.4175;16;8
0.5862;0.4211;0.5843;0.4184;17;8
0.6207;0.4211;0.6196;0.4196;18;8
0.6552;0.4211;0.6549;0.4208;19;8
0.6897;0.4211;0.6901;0.4220;20;8
0.7241;0.4211;0.7252;0.4230;21;8
0.7586;0.4211;0.7601;0.4235;22;8
0.7931;0.4211;0.7946;0.4235;23;8
0.8276;0.4211;0.8287;0.4227;24;8
0.8621;0.4211;0.8622;0.4209;25;8
0.8966;0.4211;0.8950;0.4179;26;8
0.9310;0.4211;0.9270;0.4134;27;8
0.9655;0.4211;0.9581;0.4073;28;8
